fighter,odds,ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,match_weightclass_rank,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,bout_id,opponent,corner,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Alistair Overeem,150,150.0,2021-02-06,"Las Vegas, Nevada, USA",USA,0,False,Heavyweight,MALE,5,0,2,0,3.71,0.64,1.44,0.56,11,15,83,1,1,0,4,20,8,0,33,Orthodox,193.04,203.2,265,40,0,-1,-7,-27,-13,-57,-1,-17,-8,7.62,0.0,-8,1.05,-0.6,-0.75,1,1,5.0,,,,,5.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,859f42ef10ad8e94c947c43d871e1972,Alexander Volkov,Red,,,Elevation Fight Team ,Colorado,Denver,kickboxing,0,0,1,1,0,1,0,0,0,1,0,0,0,2,1
Cory Sandhagen,-400,25.0,2021-02-06,"Las Vegas, Nevada, USA",USA,1,False,Bantamweight,MALE,3,0,1,0,6.88,0.48,1.07,0.5,5,1,14,0,0,1,1,3,1,0,6,Switch,180.34,177.8,135,28,0,0,0,12,7,80,9,2,1,-12.7,-5.08,11,-3.18,-0.2,1.21,1,1,2.0,,,,,,,,,,,2.0,,,1,,,,,,,,,,,,,,,,,,d42fd2003068ec987714cb215d96c377,Frankie Edgar,Red,,United States,,,,kickboxing,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Alexandre Pantoja,-125,80.0,2021-02-06,"Las Vegas, Nevada, USA",USA,1,False,Flyweight,MALE,3,1,0,0,4.2,0.47,1.08,0.36,3,3,21,0,0,1,1,2,2,0,6,Orthodox,165.1,170.18,125,30,-1,0,-3,-6,-3,-21,0,-2,-2,0.0,2.54,-3,-4.2,-1.1,-1.08,1,1,5.0,,,,,,,,,,,,5.0,,1,,,,,,,,,,,,,,,,,,a3b29d5d2188fbcc418482097417e66a,Manel Kape,Red,,Brazil,Nova Uniao,Brazil,Rio de Janeiro,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Diego Ferreira,-125,80.0,2021-02-06,"Las Vegas, Nevada, USA",USA,0,False,Lightweight,MALE,3,0,6,0,5.07,0.36,1.04,0.27,6,2,21,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,36,0,-1,-1,5,2,15,0,0,3,2.54,-5.08,-5,-1.09,0.1,0.71,1,1,10.0,,,,,,,,,10.0,,,,,1,,,,,,,,,,,,,,,,,,98477acd02053b03e6e88efe02de95af,Beneil Dariush,Red,,,,,,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Michael Johnson,-225,44.44444444,2021-02-06,"Las Vegas, Nevada, USA",USA,0,False,Lightweight,MALE,3,3,0,0,4.23,0.38,0.51,0.45,4,12,58,0,0,1,6,4,0,0,11,Southpaw,177.8,185.42,155,34,-1,0,0,6,3,29,0,-2,4,-7.62,-7.62,5,-1.82,0.6,2.86,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,ed321b9f9640fb869ebb2e87384f6ab6,Clay Guida,Red,,United States,Sanford MMA formerly the Blackzilians,Florida,Fort Lauderdale,wrestling,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Mike Rodriguez,-240,41.66666667,2021-02-06,"Las Vegas, Nevada, USA",USA,0,False,Light Heavyweight,MALE,3,1,0,0,5.19,0.59,0.0,0.0,1,3,13,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,-1,1,0,-2,-3,-10,0,-3,0,5.08,-12.7,3,-4.12,0.0,4.0,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,6f034ac6604da4b21eb03461ed23cf41,Danilo Marques,Red,,United States,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Molly McCann,-177,56.49717514,2021-02-06,"Las Vegas, Nevada, USA",USA,0,False,Women's Flyweight,FEMALE,3,1,0,0,5.75,0.49,2.01,0.29,3,2,14,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,30,0,0,-3,-3,-1,-11,0,0,0,0.0,12.7,-5,5.25,-0.7,-2.01,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,d3497be29ed8e68f1fee2aadbfef2c06,Lara Procopio,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
SeungWoo Choi,175,175.0,2021-02-06,"Las Vegas, Nevada, USA",USA,1,False,Featherweight,MALE,3,0,1,0,3.33,0.42,0.69,0.5,1,2,9,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,145,28,1,-1,2,2,-1,3,0,0,0,-5.08,-5.08,-4,-0.65,1.5,1.56,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,2bbef5499267f390c773499a1ba9ebbd,Youssef Zalal,Red,,,,,,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dustin Poirier,250,250.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Lightweight,MALE,5,0,1,0,5.57,0.5,1.46,0.35,5,6,62,2,1,0,6,9,3,0,19,Southpaw,175.26,182.88,155,32,0,0,2,-9,-4,-37,2,-1,-3,0.0,5.08,0,-0.14,-1.3,-0.71,0,1,,4.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,97a1d79881b558a05aed37ab99386d9d,Conor McGregor,Red,,United States,American Top Team,Florida,Coconut Creek,boxing,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1
Dan Hooker,-134,74.62686567,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Lightweight,MALE,3,1,0,0,4.98,0.48,0.74,0.34,4,5,37,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,30,-1,2,-2,-8,-5,-34,0,-5,-1,-10.16,-10.16,4,-0.9,1.2,1.83,0,1,,,6.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,b06573aec16fad61b1bc1d3a52bb5397,Michael Chandler,Red,,New Zealand,City Kickboxing,New Zealand,Auckland,muay thai,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0
Jessica Eye,-105,95.23809524,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Women's Flyweight,FEMALE,3,1,0,0,3.65,0.36,0.4,0.45,3,7,39,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,34,0,0,-1,1,-2,-14,-1,0,1,0.0,-2.54,1,2.52,-0.1,1.5,0,1,,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dbe8a3378449ba691bb8cf91edf0970,Joanne Calderwood,Red,,United States,,,,boxing,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Andrew Sanchez,115,115.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Middleweight,MALE,3,0,1,0,4.57,0.44,2.16,0.32,2,3,22,0,0,0,4,1,0,0,5,Orthodox,185.42,187.96,185,32,0,1,0,-3,-3,-16,0,0,0,2.54,2.54,-2,0.4,0.5,-1.65,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29ba718541332631e1d7bc24804d20fc,Makhmud Muradov,Red,,United States,,,,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
