fighter,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Alistair Overeem,kickboxing,0,0,1,1,0,1,0,0,0,1,0,0,0,2,1
Cory Sandhagen,kickboxing,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Alexandre Pantoja,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Diego Ferreira,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Michael Johnson,wrestling,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Mike Rodriguez,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Molly McCann,mixed,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
SeungWoo Choi,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dustin Poirier,boxing,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1
Dan Hooker,muay thai,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0
Jessica Eye,boxing,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Andrew Sanchez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Marina Rodriguez,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Brad Tavares,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Julianna Pena,kickboxing,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Khalil Rountree Jr.,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Nik Lentz,wrestling,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
Amir Albazi,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Michael Chiesa,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Warlley Alves,kickboxing,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Ike Villanueva,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Roxanne Modafferi,jiu jitsu,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Matt Schnell,mixed,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Lerone Murphy,mixed,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Omari Akhmedov,sambo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
