fighter,odds,date,weight_class,gender,current_lose_streak,current_win_streak,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts,no_of_rounds_mean,Weight_lbs_mean,win_dif_mean,height_dif_mean,reach_dif_mean,sig_str_dif_mean,avg_sub_att_dif_mean,avg_td_dif_mean,better_rank_mean,total_fight_time_secs_mean,kd_bout_mean,sig_str_landed_bout_mean,sig_str_attempted_bout_mean,sig_str_pct_bout_mean,tot_str_landed_bout_mean,tot_str_attempted_bout_mean,td_landed_bout_mean,td_attempted_bout_mean,td_pct_bout_mean,sub_attempts_bout_mean,pass_bout_mean,rev_bout_mean,location_mode,date_amin,date_amax,bout_id_unique
 Jun Yong Park,-138,2019-12-21,Middleweight,MALE,1,0,,0.5217,0.5,0.25,0,1,2,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,28,,,,,,,,,,,,,,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,185.0,0.0,7.62,2.54,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,"Busan, South Korea",2019-12-21,2019-12-21,['a1d134d4b20108d35642cb5c1ff2c55b']
Aalon Cruz,-190,2020-02-29,Featherweight,MALE,0,0,9.04,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,,,,,,,,,,,,,,,United States,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,145.0,0.0,-12.7,-17.78,-9.04,0.0,0.0,0.0,85.0,0.0,2.0,12.0,0.16,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,"Norfolk, Virginia, USA",2020-02-29,2020-02-29,['c8e695a49080fdac9137cd848fb8ca8d']
Aaron Phillips,475,2020-07-15,Bantamweight,MALE,2,0,,,0.0,0.0,0,2,6,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,30,,,,,,,,,,,,,,0.5,United States,,,,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3.0,135.0,-1.0,2.54,1.6933333333333334,-12.436666666666667,-0.6333333333333333,-1.7566666666666666,0.0,749.6666666666666,0.0,28.0,47.0,0.575,169.5,208.0,0.0,0.5,0.0,0.5,0.5,0.5,"['Abu Dhabi, Abu Dhabi, United Arab Emirates' 'Las Vegas, Nevada, USA'
 'Tulsa, Oklahoma, USA']",2014-05-24,2020-07-15,"['571c2a7c29b76edaf0b9cad8c2b57d7d' '9d48bf025a35f36de552af6924bd8fe4'
 'd2cac32bb40485d3e1a022e18682ed36']"
Aaron Riley,220,2013-07-27,Lightweight,MALE,1,0,36.0,0.36875,1.0,0.28375,1,5,17,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,32,,,,,,,,,,,,,,,,,,,boxing,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3.0,155.0,-0.6666666666666666,-2.54,-4.233333333333333,-8.476190476666668,-0.049603174666666666,-0.23015873,0.0,700.0,0.0,27.666666666666668,108.33333333333333,0.26999999999999996,53.666666666666664,135.0,1.0,2.6666666666666665,0.12333333333333334,0.0,1.3333333333333333,0.0,"['Denver, Colorado, USA' 'Las Vegas, Nevada, USA'
 'Seattle, Washington, USA']",2010-05-29,2013-07-27,"['4ecde1cf1408af7182d5b541a1d2a795' '5b3eab50956f4f70e778085b823ac03b'
 '72eeef4e0f55d0fcbab278b9bd3a4a63']"
Aaron Rosa,315,2012-03-02,Light Heavyweight,MALE,0,1,,,0.0,0.0,1,1,6,1,0,0,0,0,0,1,Orthodox,193.04,198.12,205,28,,,,,,,,,,,,,,0.0,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,205.0,-1.0,1.6933333333333334,0.706666666666667,-24.833333333333332,-0.111111111,-0.75,0.0,571.3333333333334,0.0,66.0,139.0,0.495,195.5,284.5,0.0,0.5,0.0,0.0,0.0,0.0,"['Anaheim, California, USA' 'Sydney, New South Wales, Australia'
 'Vancouver, British Columbia, Canada']",2011-06-11,2012-03-02,"['3c3697a651acc0e221012d5dfac92183' '512bbda442c71fcd2997af99605c3421'
 '3323031afec4de6358aa7755821e25e1']"
Aaron Simpson,135,2012-10-05,Welterweight,MALE,0,1,42.6,0.55,3.1,0.391,3,3,26,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,,,,,,,,,,,,,,,,,,,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.0,170.0,-2.0,-1.5875,-0.635,-4.352628968749999,0.05163690475000001,0.11929563499999998,0.0,785.75,0.2,49.6,85.0,0.6039999999999999,84.0,127.4,4.6,13.2,0.29,0.2,1.6,0.0,"Las Vegas, Nevada, USA",2010-06-19,2012-10-05,"['9d885f835c2eb5e993b27d128b1902c7' 'ee12cacc562892135a023527eb486687'
 'bac62d084a8fe02380474b64011b85f3' '84f8b7f1a5157172056d055a75a844bf'
 '92ec22262772f02ff4af012b07d31c79' '96fa887bbf1161765852e06abeefbce1'
 '44b9ac84b7dd75217bc95777b741a942' 'bea5d7439fe307c19ff114d6feea37d8']"
Aaron Wilkinson,-110,2010-12-04,Lightweight,MALE,0,0,,,,,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,155,23,,,,,,,,,,,,,,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,155.0,0.0,-5.08,0.12,0.0,0.0,0.0,0.0,123.0,,,,,,,,,,,,,"Las Vegas, Nevada, USA",2010-12-04,2010-12-04,['6423264ff8b6bc27b3bba0c8c0873fa8']
Abdul Razak Alhassan,-240,2020-11-14,Welterweight,MALE,1,0,4.54,0.48,0.73,0.28,3,2,10,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,,,,,,,,,,,,,,,Ghana,,,,judo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,170.0,0.0,1.4514285714285715,3.2657142857142856,1.05877551,0.15986394557142858,-0.2418367347142857,0.0,397.3333333333333,1.3333333333333333,22.666666666666668,51.333333333333336,0.45333333333333337,25.333333333333332,55.333333333333336,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,"['Abu Dhabi, Abu Dhabi, United Arab Emirates'
 'Belfast, Northern Ireland, United Kingdom' 'Boston, Massachusetts, USA'
 'Dallas, Texas, USA' 'Detroit, Michigan, USA' 'Las Vegas, Nevada, USA'
 'Stockholm, Sweden']",2016-11-19,2020-11-14,"['00f1b879391d0ac2c75a7023f7daf074' 'ca9ad2856b0b2ee12c7f299c3ebfd354'
 '572b2e45d8f4042a8cf54dd17c061045' '0ea42cfede8fc79e4a664ee1982921ae'
 'e8f3eb6338f988cf3da6b47ea5d37306' '2d86bc89a56d40dc3f39e311881e17ee'
 'f83d12b98984a16132632f8a1f2155de']"
Abdul-Kerim Edilov,-670,2017-09-02,Light Heavyweight,MALE,0,0,,,,,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,205,25,,,,,,,,,,,,,,,,,,,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,205.0,0.0,7.62,12.7,-12.5,0.0,0.0,0.0,452.0,,,,,,,,,,,,,"Rotterdam, Zuid-Holland, Netherlands",2017-09-02,2017-09-02,['5f39d8d2f193c5a20575fdf8304480bc']
Abel Trujillo,-145,2017-12-16,Lightweight,MALE,1,0,,,1.4,0.543,3,4,21,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,34,,,,,,,,,,,,,,0.3,,,,,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,155.0,-3.1,1.2700000000000002,-0.2539999999999999,-3.986676435000001,0.13278571430000002,-0.5974444444,0.0,559.4,0.0,29.5,66.25,0.4425,38.25,75.75,2.5,4.0,0.7475,0.0,0.75,0.0,"Las Vegas, Nevada, USA",2012-12-08,2017-12-16,"['da228786d9c24e9c40386777f5432b02' '23e562eaff64e84cfefb5974b6cb199c'
 'f982eea20883268d493bf69a582c9cef' '7a45f17070f24ff1799e07ac4ebbbc36'
 'fb0d8fecd7f5055a22cf0072e57804ea' 'add182bdbae4a9d7d37b93b3d4c0662b'
 '7f8cbb77c7bac4bf72dfd256cab789b6' 'd5cb0adba9bbe22ba99005e0d3638335'
 'df1cc19b24bddb908b848610e2c304ab' '82dab6e07658379b849a96c70a391239']"
